year,country,"Stocks traded, total value (% of GDP)","Inflation, consumer prices (annual %)","Stocks traded, turnover ratio of domestic shares (%)",Tax revenue (% of GDP),GDP per capita (current US$),"Central government debt, total (% of GDP)",Gini index (World Bank estimate),Broad money (% of GDP),"Total reserves (includes gold, current US$)","International migrant stock, total",Income share held by highest 10%,Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Exports of goods and services (% of GDP),timestamp
2008,MEX,7.64517172140388,5.12498274575897,36.2566913782458,10.0237674138845,10016.5712139986,,49.9,26.3500496976376,9.52998381828513E10,,39.1,,75.194,17.5,3.87,27.7014958270789,1635717475836
2009,MEX,8.61696801656113,5.29735584228859,22.0302867720712,9.67979626268781,8002.97217765844,,,29.8484231171316,9.98888154943453E10,,,,75.128,16.9,5.36,27.1549993271981,1635717480848
2010,MEX,10.5048235868011,4.15672722680176,24.4572089918763,10.1109133125608,9271.39839576997,,47.2,30.6273651864952,1.20584016515123E11,969538.0,37.1,,75.065,16.4,5.3,29.6976647689721,1635717485860
2011,MEX,8.45320956953106,3.40737824605736,24.41686890031,10.0124026674765,10203.4212952716,,,30.6995720007683,1.49208113907363E11,,,,75.011,15.9,5.17,31.0367071399496,1635717490924
2012,MEX,9.96483121946634,4.11150981070293,22.7949847243159,9.77301560493986,10241.727828043,,48.7,31.3336229706137,1.67075785316037E11,,38.9,,74.966,15.3,4.89,32.2655677637235,1635717495937
2013,MEX,12.8441875485091,3.80639069747207,31.1192001819566,10.294578624308,10725.1835873796,,,32.9702822868176,1.80200033349658E11,,,,74.93,14.9,4.91,31.3056529459396,1635717500949
2014,MEX,9.73393201782989,4.01861608078673,26.6604138901343,10.6256050549437,10928.9160089988,,48.7,34.4364196173135,1.95681624545922E11,,39.5,,74.908,14.4,4.81,31.8734413093812,1635717506003
2017,MEX,9.4114883751202,6.04145724018992,23.1281566888446,13.0356726825138,9287.84958732302,,,38.4778189166102,1.75469669183544E11,,,,74.947,13.0,3.42,37.6515684577081,1635717521078
2019,MEX,6.67543836718946,3.6359614212705,20.4784,13.1482208467092,9946.03382879198,,,37.7885617726133,1.83056094117556E11,,,,75.054,12.2,3.48,38.8323238310596,1635717531129
2020,MEX,7.68478341130859,3.39683415569999,20.6950360182645,,8346.70237883571,,,45.3164165129099,1.99069188921046E11,,,43.9,,,4.71,40.09167339263,1635717536179
